# schema=a2d-synthetic-processing-expectations-v1
# scope=synthetic-regression-only; these are not production capture or acceptance thresholds
# baseline_run=30324662309; detector=apriltag-sys-0.4.0-tagStandard41h12; quality_config=dark40-highlight245-tiles8x8
path	width	height	focus_min	focus_max	mean_luminance_min	mean_luminance_max	luminance_std_min	luminance_std_max	dark_fraction_min	dark_fraction_max	highlight_fraction_min	highlight_fraction_max	max_tile_highlight_min	max_tile_highlight_max	detection_count	detected_ids	minimum_decision_margin_min	minimum_decision_margin_max	maximum_hamming_errors	resolution
generated/base-page.png	1400	1900	1597.735925547342	1952.788353446752	234.543249203008	239.281496661654	48.812480837993	50.804826994645	0.025757894737	0.035757894737	0.920221052632	0.940221052632	0.973193277311	0.993193277311	4	0,1,2,3	223.028839111328	233.028839111328	0	resolved:0
generated/rotated-7-5-degrees.png	1800	2200	884.412719458836	1080.948879338578	173.690385750000	177.199282431818	94.657801770327	98.521385516055	0.015260353535	0.025260353535	0.605672474747	0.625672474747	0.979559595960	0.999559595960	4	0,1,2,3	223.028839111328	233.028839111328	0	resolved:0
generated/rotated-90-degrees.png	1800	2200	754.707049282634	922.419726900998	148.984842250000	151.994637042930	97.825255445175	101.818123014365	0.010706565657	0.020706565657	0.481172474747	0.501172474747	0.967777777778	0.987777777778	4	0,1,2,3	223.028839111328	233.028839111328	0	resolved:270
generated/perspective-mild.png	1800	2200	846.990805624000	1035.210984651556	172.665143500000	176.153328217172	94.876559380005	98.749072007761	0.014380050505	0.024380050505	0.600620454545	0.620620454545	0.990000000000	1.000000000000	4	0,1,2,3	223.028839111328	233.028839111328	0	resolved:0
generated/perspective-severe.png	1800	2200	937.829403904606	1146.235938105630	155.193167000000	158.328382494950	97.586407867921	101.569526556407	0.010554040404	0.020554040404	0.514419191919	0.534419191919	0.985797979798	1.000000000000	4	0,1,2,3	223.028839111328	233.028839111328	0	resolved:0
generated/underexposed.png	1800	2200	86.093306179954	105.225151997722	54.831030500000	55.938728085858	30.056311513431	31.283099738469	0.363467676768	0.373467676768	0.000000000000	0.010000000000	0.000000000000	0.010000000000	4	0,1,2,3	67.432693481445	77.432693481445	0	resolved:0
generated/overexposed.png	1800	2200	1023.721869101691	1251.215617790955	189.833979500000	193.669009388888	82.110902308637	85.462367708989	0.013116919192	0.023116919192	0.620671717172	0.640671717172	0.990000000000	1.000000000000	4	0,1,2,3	223.028839111328	233.028839111328	0	resolved:0
blur/gaussian-radius-2.png	1800	2200	8.660931719644	10.585583212898	172.670843000000	176.159142858586	92.171799330049	95.933913588419	0.007351515152	0.017351515152	0.537814646465	0.557814646465	0.989692929293	1.000000000000	4	0,1,2,3	223.028839111328	233.028839111328	0	resolved:0
blur/gaussian-radius-7.png	1800	2200	0.515860712690	0.630496426620	172.671331500000	176.159641227272	88.714193248996	92.335180728546	0.000000000000	0.007860606061	0.442485606061	0.462485606061	0.987478787879	1.000000000000	0	-	-	-	-	error:MARKER_DETECTION_MISSING_ROLE
glare/partial-glare.png	1800	2200	821.922178162622	1004.571551087650	171.096537750000	174.553033462122	93.816512154524	97.645757548586	0.014307070707	0.024307070707	0.516238131313	0.536238131313	0.990000000000	1.000000000000	4	0,1,2,3	223.028839111328	233.028839111328	0	resolved:0
glare/strong-glare.png	1800	2200	345.224258576491	421.940760482377	165.364827750000	168.705531340910	88.249295870064	91.851307946394	0.007069191919	0.017069191919	0.292517929293	0.312517929293	0.989919191919	1.000000000000	4	0,1,2,3	207.079132080078	217.079132080078	0	resolved:0
missing-marker/missing-bottom-right.png	1800	2200	826.328144199562	1009.956620688354	173.420122250000	176.923559063132	94.452515786840	98.307720512834	0.011271464646	0.021271464646	0.604021464646	0.624021464646	0.990000000000	1.000000000000	3	0,1,3	223.028839111328	233.028839111328	0	error:MARKER_DETECTION_MISSING_ROLE
wrong-layout/wrong-layout-qr.png	1800	2200	846.321485957420	1034.392927281290	172.700932750000	176.189840482324	94.859284850785	98.731092395715	0.014237121212	0.024237121212	0.600759848485	0.620759848485	0.990000000000	1.000000000000	4	0,1,2,3	223.028839111328	233.028839111328	0	resolved:0
wrong-layout/wrong-tag-set.png	1800	2200	849.625842176609	1038.431584882523	172.740783250000	176.230496042930	94.838870595495	98.709844905515	0.014074242424	0.024074242424	0.600906313131	0.620906313131	0.990000000000	1.000000000000	4	4,5,6,7	216.986602783203	226.986602783203	0	error:MARKER_DETECTION_MISSING_ROLE
duplicate/duplicate-top-left.png	1800	2200	868.433653757944	1061.418910148598	171.785153500000	175.255560641414	95.350564715124	99.242424499414	0.017980050505	0.027980050505	0.596720202020	0.616720202020	0.990000000000	1.000000000000	5	0,1,2,3	223.028839111328	233.028839111328	0	error:MARKER_DETECTION_DUPLICATE_TAG_ID
revisions/revision-original.png	1800	2200	846.990805624000	1035.210984651556	172.665143500000	176.153328217172	94.876559380005	98.749072007761	0.014380050505	0.024380050505	0.600620454545	0.620620454545	0.990000000000	1.000000000000	4	0,1,2,3	223.028839111328	233.028839111328	0	resolved:0
revisions/revision-updated.png	1800	2200	885.239768985131	1081.959717648493	172.292390500000	175.773044853536	94.812722589843	98.682629634327	0.014386868687	0.024386868687	0.583510606061	0.603510606061	0.990000000000	1.000000000000	4	0,1,2,3	223.028839111328	233.028839111328	0	resolved:0
